曲名,id,time,EXPERT,FC定数,AP定数,MASTER,FC定数,AP定数
心泥夢(syndrome),444,20240122,27,,,31,,
Sage,448,20240118,29,,,32,,
MOTTO!!!,405,20240115,23,,,27,,
folern,447,20240111,30,,,32,,
ハイドアンド・シーク,438,20240109,24,,,28,,
くうになる,417,20240105,24,,,29,,
『んっあっあっ。』,430,20240104,24,,,28,,
エンヴィーベイビー,402,20240103,23,,,28,,
ヒアソビ,433,20240102,27,,,31,,
強風オールバック,432,20240101,24,,,28,,
一千光年,439,20231231,25,,,30,,
金木犀,418,20231230,26,,,29,,
25時の情熱,409,20231229,22,,,25,,
初めての恋が終わる時,407,20231228,25,,,29,,
スロウダウナー,378,20231225,26,,,30,30.3,30.3
オーバーコード,446,20231222,26,,,30,30.5,30.5
難聴系男子が倒せない,341,20231218,25,,,30,30.2,30.2
ショウタイム×オーディエンス,440,20231211,25,,,30,30.4,30.4
Beyond the way,398,20231208,25,,,28,28.2,28.2
さよならプリンセス,413,20231204,26,,,30,30.1,30.1
フィラメントフィーバー,397,20231128,25,,,29,29.5,29.5
キュートなカノジョ,391,20231122,26,,,30,30.3,30.3
On&On,426,20231113,23,,,27,27.1,27.1
ARQETYPE,406,20231110,27,,,31,31.2,31.2
春嵐,392,20231106,27,,,30,30.4,30.4
トワイライトライト,384,20231101,22,,,26,26.5,26.5
はぐ,429,20231031,24,,,29,29,29
purpose,383,20231029,24,,,28,28.5,28.5
我儘姫,376,20231025,26,,,30,30.5,30.5
悪役にキスシーンを,377,20231023,25,,,29,29.5,29.5
Cool Me Down,425,20231016,25,,,29,29.2,29.2
CR詠ZY,421,20231012,24,,,28,28.4,28.4
Dear,390,20231011,23,,,28,28.3,28.3
神っぽいな,385,20231010,25,,,29,29.2,29.2
番凩,403,20231009,24,,,27,27.5,27.5
すきなことだけでいいです,367,20231008,26,,,31,31.1,31.1
デビルじゃないもん,412,20231007,26,,,29,29.5,29.5
恋は戦争,365,20231006,23,,,27,27,27
豚になってyeah yeah,325,20231005,24,,,28,28.4,28.4
メランコリック,369,20231004,24,,,27,27.2,27.2
まにまに,401,20231003,25,,,29,29.3,29.3
天樂,372,20231002,25,,,29,29.5,29.5
アイムマイン,368,20231001,25,,,29,29.5,29.5
初音ミクの激唱,388,20230929,17,,,23,,
NEO,366,20230929,25,,,29,29,29
ラッキー☆オーブ,415,20230925,24,,,28,28.3,28.3
Un-Lock,393,20230919,24,,,28,28.5,28.5
白い雪のプリンセスは,355,20230911,24,,,29,29.4,29.4
CIRCUS PANIC!!!,408,20230904,27,,,32,32.6,32.6
HERO,414,20230901,26,,,31,31.5,31.5
ブループラネット,357,20230830,26,,,30,30.39,30.39
心做し,358,20230828,22,,,26,26.2,26.2
ボトルケーキ,394,20230825,24,,,28,28.5,28.5
キラピピ★キラピカ,386,20230821,23,,,27,27.2,27.2
リアライズ,356,20230819,25,,,29,29.5,29.5
サマータイムレコード,395,20230815,24,,,28,28.3,28.3
Disco No.39,399,20230810,26,,,30,30.9,30.9
ずんだパーリナイ,379,20230804,27,,,31,31.3,31.3
新人類,381,20230803,27,,,31,31.2,31.2
我らステインバスターズ！,400,20230801,24,,,28,28.7,28.7
Decade,319,20230728,24,,,30,30,30
脳内革命ガール,344,20230724,27,,,31,31.1,31.1
星を繋ぐ,375,20230721,24,,,28,28.3,28.3
演劇,345,20230719,24,,,28,28.2,28.2
心拍ペアリング,382,20230714,23,,,28,28.4,28.4
太陽系デスコ,360,20230712,23,,,28,28,28
Afterglow,309,20230707,23,,,27,27.3,27.3
きゅうくらりん,361,20230703,27,,,31,31.1,31.1
UNDERWATER,363,20230628,24,,,29,29,29
とても素敵な六月でした,340,20230626,24,,,29,29.3,29.3
glow,339,20230623,22,,,26,26.6,26.6
チームメイト,374,20230620,24,,,30,30.2,30.2
スターダストメドレー,380,20230616,26,,,30,30.7,30.7
嗚呼、素晴らしきニャン生,346,20230612,24,,,29,29.5,29.5
下剋上,373,20230610,24,,,30,30.1,30.1
Wonder Style,362,20230607,24,,,28,28.1,28.1
人生,370,20230602,31,,,37,,
箱庭のコラル,324,20230529,23,,,27,27.3,27.3
Blue Star,342,20230526,25,,,29,29.3,29.3
エターナルアリア,364,20230522,27,,,30,30.8,30.8
シャンティ,276,20230519,25,,,30,30.5,30.5
セツナトリップ,354,20230515,27,,,32,32.6,32.6
Sharing The World,318,20230512,23,,,27,27.2,27.2
悪徳のジャッジメント,348,20230506,24,,,28,28.3,28.3
円尾坂の仕立屋,347,20230505,24,,,28,28.4,28.4
眠らせ姫からの贈り物,350,20230504,24,,,27,27.4,27.4
悪食娘コンチータ,349,20230503,26,,,29,29,29
快晴,323,20230501,25,,,29,29.7,29.7
キティ,353,20230430,28,,,31,31,31
ももいろの鍵,308,20230428,26,,,31,31.2,31.2
命ばっかり,352,20230424,25,,,28,28.6,28.6
絶え間なく藍色,322,20230421,24,,,28,28.2,28.2
おこちゃま戦争,307,20230417,27,,,31,31.4,31.4
名も無き革命,359,20230414,24,,,29,29.4,29.4
相生,351,20230411,22,,,26,26.5,26.5
魔法みたいなミュージック！,317,20230410,25,,,31,31.4,31.4
深海少女,258,20230407,23,,,27,27.5,27.5
スノーマン,343,20230404,24,,,29,29.7,29.7
私の恋はヘルファイア,301,20230403,27,,,31,31.6,31.6
インタビュア,330,20230402,23,,,26,26.3,26.3
METEOR,337,20230401,25,,,30,30.2,30.2
Be The MUSIC!,336,20230331,26,,,29,29.5,29.5
Vampire's ∞ pathoS,334,20230331,27,,,31,31.4,31.4
トラッシュ・アンド・トラッシュ！,335,20230330,27,,,31,31.2,31.2
ザムザ,300,20230328,25,,,30,30.4,30.4
アトラクトライト,321,20230324,25,,,30,30.3,30.3
Highlight,263,20230320,23,,,28,28.1,28.1
エピローグに君はいない,332,20230316,23,,,26,26.3,26.3
エゴイスト,299,20230313,26,,,31,31.6,31.6
Mr. Showtime,333,20230311,26,,,31,31.5,31.5
39,331,20230309,24,,,29,29,29
Booo!,320,20230307,25,,,29,29.7,29.7
ヤミナベ!!!!,329,20230304,31,,,37,,
Q,202,20230302,24,,,28,28.2,28.2
パレットには君がいっぱい,214,20230301,25,,,28,28.5,28.5
ストロボラスト,305,20230228,23,,,28,28.4,28.4
ココロ,312,20230227,24,,,28,28.9,28.9
Where shall we go?,338,20230224,21,,,26,26.2,26.2
"Hello, Worker",286,20230220,25,,,28,28.4,28.4
ひつじがいっぴき,316,20230219,25,,,28,28.5,28.5
私は、私達は,287,20230217,24,,,27,27.3,27.3
1925,306,20230215,24,,,28,28.5,28.5
アイロニ,293,20230213,23,,,28,28.7,28.7
レイニースノードロップ,283,20230211,25,,,30,30.6,30.6
Copycat,247,20230210,23,,,26,26,26
天使の翼。,326,20230207,24,,,28,28.7,28.7
星界ちゃんと可不ちゃんのおつかい合騒曲,328,20230206,29,,,32,32.8,32.8
SnowMix♪,327,20230204,27,,,30,30.6,30.6
Goodbye,228,20230201,23,,,26,26,26
p.h.,297,20230123,24,,,29,29.3,29.3
Flyway,310,20230121,24,,,29,29.4,29.4
星空オーケストラ,282,20230119,23,,,29,29.5,29.5
夜明けと蛍,311,20230110,22,,,26,26.4,26.4
フェレス,291,20230105,26,,,30,30.4,30.4
リンちゃんなう！,303,20230104,25,,,30,30.3,30.3
それがあなたの幸せとしても,294,20230103,22,,,26,26.8,26.8
気まぐれメルシィ,281,20230102,25,,,31,31.5,31.5
FREELY TOMORROW,313,20230101,24,,,29,29.3,29.3
カンタレラ,296,20221231,24,,,29,29.9,29.9
ネトゲ廃人シュプレヒコール,298,20221230,25,,,31,31.5,31.5
夜もすがら君想ふ,255,20221229,24,,,28,28.3,28.3
腐れ外道とチョコレゐト,250,20221225,30,,,34,,
What's up? Pop!,315,20221223,31,,,37,,
仮死化,267,20221219,23,,,28,28.2,28.2
陽だまりのセツナ,314,20221212,23,,,28,28.5,28.5
ロンリーユニバース,269,20221209,23,,,27,27.4,27.4
ノンブレス・オブリージュ,268,20221205,26,,,30,30.5,30.5
フロート・プランナー,295,20221130,23,,,27,27.5,27.5
あったかいと,271,20221128,24,,,29,29.4,29.4
フレー,302,20221126,26,,,30,30.9,30.9
星屑ユートピア,261,20221125,25,,,30,30.6,30.6
パラジクロロベンゼン,275,20221121,24,,,28,28.4,28.4
Iなんです,304,20221120,26,,,31,31.4,31.4
the WALL,259,20221118,25,,,30,30.7,30.7
ラブカ？,260,20221114,25,,,29,29.6,29.6
Change me,265,20221104,23,,,28,28.6,28.6
帝国少女,262,20221101,24,,,28,28.9,28.9
いちにのさんで,292,20221031,22,,,26,26.4,26.4
泥中に咲く,270,20221028,22,,,26,26.4,26.4
どんな結末がお望みだい？,290,20221021,24,,,28,28.4,28.4
DREAM PLACE,252,20221019,25,,,29,29.4,29.4
ÅMARA(大未来電脳),285,20221011,28,,,34,,
DAYBREAK FRONTLINE,253,20221010,25,,,29,29.5,29.5
こちら、幸福安心委員会です。,279,20221009,24,,,28,28.5,28.5
トリノコシティ,242,20221008,23,,,27,27.4,27.4
Bad ∞ End ∞ Night,278,20221007,25,,,29,29.4,29.4
エゴロック,225,20221006,25,,,31,31.5,31.5
インビジブル,284,20221005,28,,,32,32.3,32.3
ダブルラリアット,256,20221004,23,,,27,27.2,27.2
フォニイ,277,20221003,24,,,29,29.6,29.6
アンハッピーリフレイン,288,20221002,26,,,31,31.1,31.1
天ノ弱,289,20221001,25,,,29,29.4,29.4
Journey,235,20220929,25,,,29,29.3,29.3
虚ろを扇ぐ,280,20220920,23,,,27,27.4,27.4
Calc.,243,20220916,25,,,30,30.4,30.4
ジェヘナ,272,20220912,25,,,31,31.2,31.2
Voices,236,20220907,25,,,30,30.3,30.3
フューチャー・イヴ,273,20220902,27,,,32,32.5,32.5
君の夜をくれ,237,20220829,21,,,26,26.8,26.8
それでもいいんだよ,274,20220826,24,,,29,29.6,29.6
YY,266,20220822,25,,,29,29.9,29.9
ロストエンファウンド,226,20220815,25,,,29,29.8,29.8
パラソルサイダー,264,20220810,25,,,30,30.5,30.5
踊れオーケストラ,240,20220808,24,,,28,28.4,28.4
フロイライン＝ビブリォチカ,251,20220730,27,,,31,31.8,31.8
てらてら,257,20220721,24,,,30,30.4,30.4
街,217,20220719,23,,,27,27.4,27.4
エイリアンエイリアン,246,20220711,25,,,29,29.5,29.5
メリュー,218,20220704,22,,,26,26.5,26.5
ぼくらの16bit戦争,249,20220701,28,,,33,33,33
脳漿炸裂ガール,229,20220630,28,,,32,32.5,32.5
星空のメロディー,212,20220628,24,,,27,27.5,27.5
未完成讃歌,254,20220624,27,,,31,31.4,31.4
ヴァンパイア,213,20220620,25,,,30,30.2,30.2
グッバイ宣言,198,20220613,26,,,30,30.4,30.4
バグ,248,20220610,26,,,32,32,32
阿吽のビーツ,245,20220606,23,,,29,29.3,29.3
Awake Now,244,20220531,24,,,30,30.1,30.1
神のまにまに,201,20220530,25,,,29,29.5,29.5
アサガオの散る頃に,241,20220523,21,,,26,26.1,26.1
月光,239,20220520,25,,,29,29.6,29.6
リモコン,146,20220516,24,,,29,29.1,29.1
妄想感傷代償連盟,194,20220513,23,,,27,27.5,27.5
ブラック★ロックシューター,238,20220510,24,,,27,27.3,27.3
イフ,211,20220508,23,,,27,27.4,27.4
サラマンダー,230,20220505,25,,,30,30.5,30.5
徳川カップヌードル禁止令,234,20220504,27,,,31,31.5,31.5
コスモスパイス,233,20220503,25,,,31,31.6,31.6
青色絵具,232,20220502,24,,,27,27.7,27.7
アイデンティティ,231,20220501,26,,,31,31,31
オーダーメイド,196,20220428,21,,,26,26.6,26.6
ダーリンダンス,168,20220425,25,,,30,30.1,30.1
PaⅢ.SENSATION,195,20220418,24,,,29,29.6,29.6
ONESELF,227,20220415,27,,,30,30.4,30.4
88☆彡,224,20220411,26,,,29,29.7,29.7
千年の独奏歌,223,20220404,23,,,27,27.6,27.6
ピアノ×フォルテ×スキャンダル,222,20220403,26,,,30,30.5,30.5
ルカルカ★ナイトフィーバー,216,20220402,25,,,29,29.3,29.3
砂の惑星,219,20220401,23,,,27,27.5,27.5
ドーナツホール,220,20220331,25,,,29,29.9,29.9
マトリョシカ,221,20220330,25,,,30,30,30
ノマド,189,20220328,23,,,26,26.7,26.7
雨とペトラ,210,20220322,25,,,29,29.4,29.4
いーあるふぁんくらぶ,174,20220314,24,,,28,28.4,28.4
メタモリボン,209,20220311,23,,,26,26.3,26.3
Miku,153,20220309,24,,,29,29.2,29.2
僕らまだアンダーグラウンド,208,20220304,25,,,28,28.5,28.5
心予報,188,20220302,24,,,28,28.5,28.5
ナンセンス文学,158,20220224,25,,,29,29.6,29.6
ジウダス,215,20220221,25,,,28,28.6,28.6
Peaky Peaky,207,20220218,25,,,28,28.8,28.8
Flyer!,182,20220216,24,,,29,29.5,29.5
愛して愛して愛して,181,20220207,25,,,28,28.6,28.6
君色マリンスノウ,206,20220205,28,,,31,31.5,31.5
踊,205,20220204,26,,,29,29.7,29.7
うっせぇわ,204,20220131,24,,,28,28.3,28.3
心拍数♯0822,155,20220124,23,,,27,27.3,27.3
トリコロージュ,203,20220121,24,,,28,28.8,28.8
にっこり^^調査隊のテーマ,178,20220119,27,,,31,31.4,31.4
Don't Fight The Music,164,20220110,30,,,35,,
the EmpErroR,163,20220109,31,,,36,,
エンドマークに希望と涙を添えて,162,20220108,31,,,35,,
ガランド,200,20220103,24,,,28,28.7,28.7
少女レイ,169,20220102,24,,,27,27.4,27.4
サンドリヨン 10th Anniversary,104,20220101,25,,,29,29.3,29.3
ヴィラン,170,20211231,25,,,29,29.8,29.8
ゴーストルール,199,20211230,27,,,33,33.6,33.6
ミライ,180,20211229,24,,,28,28.5,28.5
フィクサー,183,20211228,26,,,31,31.7,31.7
ラストスコア,197,20211220,26,,,30,30.5,30.5
去り人達のワルツ,192,20211215,23,,,28,28.5,28.5
悪ノ召使,191,20211214,24,,,27,27.1,27.1
悪ノ娘,190,20211213,24,,,27,27.1,27.1
ワールドワイドワンダー,193,20211210,24,,,28,28.7,28.7
からくりピエロ,147,20211129,23,,,27,27.7,27.7
STAGE OF SEKAI,159,20211118,25,,,30,30.5,30.5
オルターエゴ,167,20211110,26,,,31,31.7,31.7
初音天地開闢神話,186,20211105,28,,,33,33.6,33.6
ロウワー,187,20211031,26,,,31,31.1,31.1
Happy Halloween,172,20211030,25,,,31,31.4,31.4
ショウタイム・ルーラー,160,20211029,25,,,31,31.5,31.5
しっくおぶはうす！,185,20211022,26,,,30,30.7,30.7
"Hello,world!",184,20211013,25,,,29,29.6,29.6
ray,148,20211012,24,,,26,26.5,26.5
右肩の蝶,177,20211011,25,,,31,31.3,31.3
マシュマリー,157,20211010,26,,,29,29.4,29.4
だれかの心臓になれたなら,152,20211009,25,,,29,29.8,29.8
悪魔の踊り方,133,20211008,26,,,31,31.3,31.3
トキヲ・ファンカ,150,20211007,25,,,28,28.6,28.6
テレキャスタービーボーイ,134,20211006,25,,,29,29.6,29.6
拝啓ドッペルゲンガー,175,20211005,28,,,32,32.7,32.7
ベノム,145,20211004,26,,,29,29.6,29.6
マシンガンポエムドール,176,20211003,31,,,35,,
ロストワンの号哭,98,20211002,26,,,33,33.1,33.1
炉心融解,179,20211001,24,,,27,27.5,27.5
再生,142,20210929,22,,,26,26.4,26.4
群青讃歌,141,20210929,24,,,27,27.4,27.4
カトラリー,111,20210921,25,,,29,29.1,29.1
流星のパルス,173,20210910,25,,,31,31.3,31.3
magic number,161,20210901,25,,,30,30.3,30.3
チルドレンレコード,136,20210823,27,,,32,32.3,32.3
Glory Steady Go!,166,20210820,25,,,30,30.6,30.6
アイスドロップ,140,20210818,24,,,27,27.6,27.6
カゲロウデイズ,171,20210815,27,,,31,31.7,31.7
そうだった！！,165,20210806,27,,,31,31.4,31.4
ビターチョコデコレーション,129,20210728,25,,,31,31.9,31.9
地球最後の告白を,154,20210719,25,,,31,31.6,31.6
六兆年と一夜物語,135,20210712,29,,,35,,
Beat Eater,156,20210709,25,,,29,29.3,29.3
フロムトーキョー,130,20210707,24,,,28,28.3,28.3
トラフィック・ジャム,143,20210630,24,,,28,28.8,28.8
カナデトモスソラ,149,20210621,22,,,26,26.9,26.9
トンデモワンダーズ,127,20210619,27,,,32,32.4,32.4
泡沫未来,151,20210614,25,,,30,30.5,30.5
ロミオとシンデレラ,121,20210607,24,,,28,28.4,28.4
いかないで,120,20210528,25,,,29,29.6,29.6
アイノマテリアル,144,20210521,22,,,26,26.6,26.6
KING,138,20210517,25,,,30,30.3,30.3
シネマ,126,20210508,24,,,29,29.4,29.4
幽霊東京,102,20210503,24,,,27,27.9,27.9
夜に駆ける,139,20210501,25,,,30,30.2,30.2
花を唄う,137,20210426,25,,,30,30.5,30.5
「１」,132,20210421,23,,,27,27.2,27.2
アイディスマイル,116,20210419,25,,,28,28.6,28.6
どりーみんチュチュ,123,20210412,23,,,27,27.8,27.8
お気に召すまま,106,20210405,24,,,29,29.5,29.5
初音ミクの激唱,131,20210330,30,,,34,,
天使のクローバー,112,20210330,27,,,31,31.3,31.3
from Y to Y,96,20210322,24,,,27,27.5,27.5
威風堂々,95,20210315,24,,,28,28.6,28.6
みくみくにしてあげる♪【してやんよ】,124,20210309,24,,,28,28.5,28.5
ボッカデラベリタ,125,20210306,25,,,29,29.6,29.6
ワンスアポンアドリーム,105,20210228,22,,,28,28.2,28.2
限りなく灰色へ,90,20210226,26,,,31,31,31
Brand New Day,128,20210222,28,,,32,32.4,32.4
ポジティブ☆ダンスタイム,122,20210219,26,,,31,31.9,31.9
drop pop candy,15,20210215,25,,,29,29.4,29.4
タイムマシン,8,20210210,23,,,27,27.4,27.4
ミルククラウン・オン・ソーネチカ,107,20210206,26,,,30,30.5,30.5
RAD DOGS,101,20210131,26,,,30,30.4,30.4
Color of Drops,89,20210129,23,,,28,28.5,28.5
ヒビカセ,109,20210118,25,,,28,28.6,28.6
ワールズエンド・ダンスホール,119,20210114,26,,,30,30.8,30.8
霽れを待つ,97,20210110,26,,,31,31.3,31.3
とても痛い痛がりたい,94,20210105,23,,,28,28.4,28.4
ブレス・ユア・ブレス,72,20210104,24,,,29,29.3,29.3
チュルリラ・チュルリラ・ダッダッダ！,88,20210103,26,,,31,31.6,31.6
ECHO,100,20210102,23,,,26,26.7,26.7
千本桜,110,20210101,26,,,32,32.1,32.1
＊ハロー、プラネット。,118,20201231,24,,,29,29.5,29.5
恋愛裁判,87,20201230,22,,,28,28.4,28.4
グリーンライツ・セレナーデ,46,20201229,27,,,31,31.8,31.8
ドラマツルギー,91,20201228,25,,,29,29.2,29.2
ODDS＆ENDS,117,20201224,24,,,29,29.4,29.4
ニジイロストーリーズ,103,20201220,25,,,29,29.8,29.8
独りんぼエンヴィー,74,20201214,22,,,26,26.6,26.6
Forward,55,20201208,24,,,28,28.7,28.7
ウミユリ海底譚,75,20201201,23,,,28,28.4,28.4
愛されなくても君がいる,108,20201130,23,,,27,27.6,27.6
アンノウン・マザーグース,115,20201123,26,,,30,30.6,30.6
裏表ラバーズ,114,20201121,26,,,30,30.4,30.4
モア！ジャンプ！モア！,99,20201119,26,,,31,31.2,31.2
ローリンガール,113,20201114,26,,,31,31.3,31.3
potatoになっていく,52,20201107,24,,,29,29.1,29.1
乙女解剖,92,20201101,24,,,28,28.5,28.5
メルティランドナイトメア,70,20201025,24,,,27,27.5,27.5
ジャックポットサッドガール,62,20201020,26,,,29,29.6,29.6
Leia - Remind,85,20201019,25,,,29,29.4,29.4
ステラ,64,20201018,26,,,30,30.6,30.6
青く駆けろ！,93,20201017,24,,,27,27.5,27.5
39みゅーじっく！,45,20201016,23,,,28,28.4,28.4
携帯恋話,61,20201015,25,,,29,29.5,29.5
on the rocks,86,20201014,23,,,27,27.3,27.3
ミラクルペイント,36,20201013,25,,,30,30.6,30.6
ジャンキーナイトタウンオーケストラ,84,20201012,26,,,31,31.6,31.6
ビバハピ,11,20201011,24,,,29,29.3,29.3
Gimme×Gimme,83,20201010,26,,,29,29.6,29.6
夜咄ディセイブ,81,20201009,26,,,30,30.8,30.8
Hand in Hand,44,20201008,23,,,28,28.3,28.3
ダンスロボットダンス,68,20201007,26,,,30,30.4,30.4
ワールドイズマイン,48,20201006,24,,,29,29.1,29.1
命に嫌われている,22,20201005,26,,,30,30.4,30.4
脱法ロック,21,20201004,26,,,31,31.8,31.8
Just Be Friends,27,20201003,23,,,28,28.4,28.4
ニア,73,20201002,22,,,27,27.4,27.4
アスノヨゾラ哨戒班,18,20201001,25,,,29,29.4,29.4
alive,82,20190610,23,,,27,27.5,27.5
ぼうけんのしょがきえました！,78,20190610,26,,,31,31.7,31.7
ワーワーワールド,77,20190610,24,,,29,29.2,29.2
セカイ,76,20190610,23,,,27,27.7,27.7
ツギハギスタッカート,71,20190610,24,,,28,28.3,28.3
フラジール,69,20190610,24,,,28,28.6,28.6
自傷無色,67,20190610,22,,,26,26.5,26.5
ハロ／ハワユ,66,20190610,22,,,27,27.4,27.4
needLe,63,20190610,25,,,29,29.4,29.4
悔やむと書いてミライ,60,20190610,26,,,30,30.9,30.9
アイドル新鋭隊,57,20190610,24,,,29,29.3,29.3
Ready Steady,54,20190610,25,,,29,29.4,29.4
セカイはまだ始まってすらいない,51,20190610,24,,,29,29.3,29.3
Blessing,50,20190610,23,,,27,27.6,27.6
初音ミクの消失,49,20190610,30,,,35,,
メルト,47,20190610,25,,,29,29.2,29.2
ネクストネスト,43,20190610,27,,,30,30.4,30.4
スイートマジック,41,20190610,24,,,27,27.6,27.6
ブリキノダンス,38,20190610,25,,,30,30.5,30.5
ドクター＝ファンクビート,28,20190610,27,,,32,32.5,32.5
劣等上等,26,20190610,25,,,30,30.7,30.7
シャルル,19,20190610,23,,,28,28.2,28.2
Nostalogic,13,20190610,23,,,29,29.2,29.2
ハッピーシンセサイザ,10,20190610,24,,,28,28.4,28.4
ヒバナ -Reloaded-,6,20190610,28,,,32,32.9,32.9
テオ,3,20190610,27,,,32,32.2,32.2
ロキ,2,20190610,24,,,29,29.1,29.1
Tell Your World,1,20190610,22,,,26,26.1,26.1
